SKU	ItemName	StockCount	ReorderLevel	UnitCost	RetailPrice	Supplier
SKU030	Webcam Model-X	248	22	408.32	601.52	Clark Logistics Inc.
SKU031	Filing Cabinet Model-C	97	48	506.81	816.13	Clark Logistics Inc.
SKU032	Mouse Model-A	40	49	831.29	1326.5	Hernandez Logistics Inc.
SKU033	Keyboard Model-Y	33	37	436.0	771.34	Davis Logistics Inc.
SKU034	LED Lamp Model-A	138	34	906.23	1106.26	Lee Logistics Inc.
SKU035	Laptop Model-X	144	37	632.39	1121.35	White Logistics Inc.
SKU036	Webcam Model-X	0	28	952.85	1200.09	Taylor Logistics Inc.
SKU037	Keyboard Model-A	25	41	763.66	1294.86	Harris Logistics Inc.
SKU038	Microphone Model-B	227	39	261.63	359.58	Thomas Logistics Inc.
SKU039	Webcam Model-Y	183	43	722.35	1245.04	Lopez Logistics Inc.
SKU040	Filing Cabinet Model-B	16	19	637.93	904.45	Martinez Logistics Inc.
SKU041	Webcam Model-C	173	37	615.22	811.38	Miller Logistics Inc.
SKU042	Mouse Model-X	230	38	131.97	175.37	Anderson Logistics Inc.
SKU043	Filing Cabinet Model-A	209	15	256.16	457.22	Jackson Logistics Inc.
SKU044	USB-C Dock Model-X	80	45	230.36	379.44	Williams Logistics Inc.
SKU045	Headphones Model-X	216	37	900.13	1324.02	Lee Logistics Inc.
SKU046	Keyboard Model-Y	84	37	970.22	1334.9	Anderson Logistics Inc.
SKU047	LED Lamp Model-Y	5	38	359.13	504.38	Brown Logistics Inc.
SKU048	Webcam Model-Y	232	23	256.07	324.95	Clark Logistics Inc.
SKU049	Desk Chair Model-B	141	22	154.62	202.08	Brown Logistics Inc.
SKU050	Desk Chair Model-B	187	46	72.21	115.27	Hernandez Logistics Inc.
SKU051	Monitor Model-C	102	20	971.77	1268.06	Jones Logistics Inc.
SKU052	Mouse Model-Y	132	14	21.2	34.07	Gonzalez Logistics Inc.
SKU053	Microphone Model-B	201	15	63.87	94.17	Wilson Logistics Inc.
SKU054	USB-C Dock Model-C	88	18	921.14	1492.43	Harris Logistics Inc.
SKU055	Laptop Model-A	75	32	73.01	115.59	Brown Logistics Inc.
SKU056	Laptop Model-C	173	29	13.64	22.81	Lopez Logistics Inc.
SKU057	Standing Desk Model-A	240	30	958.01	1180.25	Johnson Logistics Inc.
SKU058	USB-C Dock Model-Y	18	34	92.31	152.52	Rodriguez Logistics Inc.
SKU059	Webcam Model-B	245	21	634.6	1032.9	Wilson Logistics Inc.
SKU060	Mouse Model-X	60	25	938.95	1372.6	Martin Logistics Inc.
SKU061	Mouse Model-C	162	32	997.25	1574.87	Harris Logistics Inc.
SKU062	Headphones Model-X	218	39	630.84	847.9	Miller Logistics Inc.
SKU063	Router Model-A	87	34	661.21	1025.88	Thompson Logistics Inc.
SKU064	External SSD Model-A	181	39	658.8	1129.68	Smith Logistics Inc.
SKU065	Mouse Model-Y	212	40	675.79	1085.26	Smith Logistics Inc.
SKU066	Laptop Model-X	136	43	157.32	243.13	Davis Logistics Inc.
SKU067	Filing Cabinet Model-A	118	36	684.02	1087.67	Lee Logistics Inc.
SKU068	Router Model-X	160	10	773.94	1084.45	Jackson Logistics Inc.
SKU069	Laptop Model-X	247	17	953.91	1644.32	Taylor Logistics Inc.
SKU070	External SSD Model-B	116	26	632.58	1061.73	Johnson Logistics Inc.
SKU071	Standing Desk Model-Y	11	15	401.94	693.56	Wilson Logistics Inc.
SKU072	Webcam Model-X	100	39	485.56	786.24	White Logistics Inc.
SKU073	USB-C Dock Model-B	245	26	801.36	1329.82	Harris Logistics Inc.
SKU074	Webcam Model-C	84	19	493.93	877.4	Lee Logistics Inc.
SKU075	Standing Desk Model-X	239	46	641.8	866.89	Martin Logistics Inc.
SKU076	Monitor Model-B	2	30	186.18	297.76	Lee Logistics Inc.
SKU077	Standing Desk Model-X	133	25	240.51	332.52	Miller Logistics Inc.
SKU078	Desk Chair Model-B	2	47	218.16	309.5	Walker Logistics Inc.
SKU079	Monitor Model-X	193	41	467.59	809.92	Hernandez Logistics Inc.
SKU080	Microphone Model-A	109	37	785.05	1094.96	Rodriguez Logistics Inc.
SKU081	Microphone Model-Y	13	38	77.26	110.39	Williams Logistics Inc.
SKU082	Standing Desk Model-Y	46	11	573.56	705.58	Taylor Logistics Inc.
SKU083	LED Lamp Model-C	49	25	476.47	587.27	Davis Logistics Inc.
SKU084	Standing Desk Model-A	33	49	452.79	577.52	Johnson Logistics Inc.
SKU085	Headphones Model-C	38	35	65.7	83.4	Lee Logistics Inc.
SKU086	Headphones Model-A	168	44	361.04	544.11	Davis Logistics Inc.
SKU087	Keyboard Model-A	15	23	45.74	71.19	Davis Logistics Inc.
SKU088	Router Model-B	58	28	837.71	1503.71	Lee Logistics Inc.
SKU089	Webcam Model-A	208	12	662.81	926.24	Thomas Logistics Inc.
SKU090	Webcam Model-X	23	48	313.52	436.98	Williams Logistics Inc.
SKU091	USB-C Dock Model-C	72	17	568.1	838.47	Martinez Logistics Inc.
SKU092	External SSD Model-Y	153	31	281.5	390.44	Davis Logistics Inc.
SKU093	Laptop Model-X	247	36	311.24	395.69	Lopez Logistics Inc.
SKU094	Mouse Model-C	220	48	421.05	535.64	Williams Logistics Inc.
SKU095	LED Lamp Model-B	26	38	589.92	740.37	Robinson Logistics Inc.
SKU096	Desk Chair Model-Y	165	21	499.82	721.07	Lopez Logistics Inc.
SKU097	LED Lamp Model-Y	25	12	324.47	467.89	Lopez Logistics Inc.
SKU098	Standing Desk Model-X	29	27	246.12	378.07	Davis Logistics Inc.
SKU099	Monitor Model-B	189	14	634.51	902.75	Hernandez Logistics Inc.
SKU100	USB-C Dock Model-Y	18	41	140.89	175.62	Hernandez Logistics Inc.
